merchant_id,owner_ssn,business_fed_tax_id,owner_drivers_license,business_phone_number,owner_phone_number,email,address_line1,city,state,zip_code,country,website,fraud_reason
363aa938-63de-40c2-8cd6-5970954694f2,522-17-1589,93-5604066,DL86374840,809-332-5058,218-899-4444,global.solutions.inc@gmail.com,5765 Cedar St,New York,NY,58438,US,www.globalsolutionsinc.com,Duplicate SSN
011fc301-97cb-4b8e-900c-1b8a508cdef1,327-27-9986,36-2734085,DL63129716,809-332-5058,601-575-4281,global.services.corp@hotmail.com,2561 Jefferson St,New York,NY,12275,US,www.globalservicescorp.com,Multiple applications from same phone
3c2290cf-9a2a-4f98-b8f3-8492fe5315fa,863-19-2023,36-2734085,DL13512998,690-692-9482,995-822-7953,american.tech.ltd@aol.com,5258 Lincoln St,Houston,TX,65057,US,www.americantechltd.com,Duplicate SSN
eb63d95d-8395-46d5-a83b-3b3ca611cc65,327-27-9986,42-5842098,DL21558574,820-754-9128,735-395-5777,international.solutions.ltd@gmail.com,8142 Jefferson St,Los Angeles,CA,27442,US,www.internationalsolutionsltd.com,Suspicious tax ID pattern
021324a6-ca13-4b08-882d-18d9e6a6f671,863-19-2023,75-4469529,DL52624592,302-828-4690,625-415-9137,national.tech.inc@gmail.com,464 Maple St,Chicago,IL,59172,US,www.nationaltechinc.com,Known fraudulent email domain
43941394-d2c9-4ff1-88a6-8449c3af7cd7,522-17-1589,38-8264748,DL78203412,820-754-9128,521-299-1642,american.tech.corp@outlook.com,5723 Oak St,Phoenix,AZ,19820,US,www.americantechcorp.com,Known fraudulent email domain
520546ac-976e-4526-8202-4aae31a9129f,863-19-2023,38-8264748,DL13492403,820-754-9128,263-190-9123,american.services.corp@yahoo.com,5940 Cedar St,Phoenix,AZ,30980,US,www.americanservicescorp.com,Known fraudulent email domain
43d8a0f3-248a-487d-8585-9ab79cefd276,522-17-1589,38-8264748,DL28130798,809-332-5058,907-479-6709,national.enterprises.ltd@hotmail.com,233 Maple St,Los Angeles,CA,65057,US,www.nationalenterprisesltd.com,Known fraudulent email domain
d5c33e67-b4f5-48ea-b91c-154632ca36c2,522-17-1589,38-8264748,DL39947553,302-828-4690,361-220-2381,american.enterprises.ltd@outlook.com,8949 Elm St,Houston,TX,68710,US,www.americanenterprisesltd.com,Duplicate SSN
70bc0580-02d1-4d73-a956-e56fd2a96119,522-17-1589,75-4469529,DL13445794,242-671-1113,757-509-7146,global.solutions.inc@outlook.com,9663 Elm St,Houston,TX,20585,US,www.globalsolutionsinc.com,Multiple applications from same phone
34ca0e32-7147-4e4a-bffc-dcea9572ada6,253-57-3990,42-5842098,DL56135746,242-671-1113,563-714-7374,american.enterprises.ltd@aol.com,8245 Cedar St,Phoenix,AZ,27257,US,www.americanenterprisesltd.com,Suspicious address pattern
16f98211-6c51-40c8-bee2-f39bc27d455a,253-57-3990,38-8264748,DL12354293,242-671-1113,993-375-9929,international.services.corp@aol.com,1220 Oak St,Los Angeles,CA,72139,US,www.internationalservicescorp.com,Duplicate SSN
3184679b-fe42-4dba-b734-81c2d3a4afe3,789-49-3311,75-4469529,DL45033500,690-692-9482,964-913-6557,united.enterprises.ltd@yahoo.com,9838 Maple St,Houston,TX,62078,US,www.unitedenterprisesltd.com,Known fraudulent email domain
